Q,A,label
이별  그 아픔 을 잊는 시간 의 두려움 이란,사람 을 잊는다는 건 쉬운 일이 아니니까 요 ,1
이별 10일 째 되어가네,이별 을 헤아리지 말아요 ,1
이별 119일 째 ,이별 을 헤아리는 건 큰 도움 이 안 돼요 ,1
이별 20 일 ,짧지 않은 시간 이네 요 ,1
이별 2 달 째 에 새로운 소개팅 했습니다 ,새로운 시작 응원 해요 ,1
이별 2 달차 아직도 못 잊고 원망,이해해 요  그렇지만 원망 은 자신 을 더 힘들게 할 뿐 이에요 ,1
이별 2일 째 ,아직 힘들 시기 에요 ,1
이별 3일 째,아직 많이 힘들겠어요 ,1
이별 400일 ,이별 을 헤아릴 수록 힘든 건 자신이랍니다 ,1
이별 4일 차,아직 실감 이 안 나겠어요 ,1
이별 5 달,이 젠 마음 의 정리 가 끝났길 바랍니다 ,1
이별 5일 째,아직 시간 이 더디게 흐를 거 예요 ,1
이별 6 개월 째 네,이 젠 좀 괜찮아졌길 바랍니다 ,1
이별 6 개월후,이 젠 좀 괜찮아졌길 바랍니다 ,1
이별 6일 째,금방 지나갈 거 예요 ,1
이별 6일 째,마음 이 허전할거라 생각 해요 ,1
이별 고통,그 어떤 고통 보다 나를 힘들게 해 요 ,1
이별 괜찮 타 ,그렇게 생각 하다 보면 정말 괜찮아질 거 예요 ,1
이별 극복 방법,작은 일 에서 행복 을 느껴 보는게 좋아요 ,1
이별 극복 할수있을까 ?,당신 이 라면 충분히 극복 할 수 있어요 ,1
이별 글 쓴지 어느 덧 1년 하고 2 개월 정도 되었네,마음 의 정리 가 아직 인가 봅니다 ,1
이별 너무 힘드네 ㅠ,이별 의 상처 를 잘 아물지 않나 봐요 ,1
이별 넋두리,저 한테 다 말씀 하세요 ,1
이별 다음 날,태연히 행동 해보세요 ,1
이별 두 달 째,마음 의 정리 가 아직 인가 봅니다 ,1
이별 뒤 ,착잡한 마음 을 감출 길이 없지요 ,1
이별 마음 접는것은,쉬운 일 은 아니에요 ,1
이별 받아는 들이긴 했는데,가슴 한 켠에 남아있을 수 있어요 ,1
이별 사유 가 내 맘 에 안 들어,이해 할 순 없겠지요 ,1
이별 상태 ,저 에게 기대세요 ,1
이별 성 장통 이 너무 길다 ,그만큼 많이 성장하려 하나 봐요 ,1
이별 수순 을 밟고 있는 거지,잘 하고 있어요 ,1
이별 앞 에 씩씩해지기,때로는 힘내지 않아도 돼요  눈물 이 난다면 미련 없이 울 어도 돼요 ,1
이별 왜 찾아오는 것 일까 ?,시작 이 있으면 끝 이 있으니까 요 ,1
이별 이야기,제 게 들려주세요 ,1
이별 이야기 하나,제 게 말 해보세요 ,1
이별 이야기 ,어느 이야기 보다 가슴 먹 먹 할 거 예요 ,1
이별 이야기 는 신중해야 하 는걸 아니까 오늘 도 고민 합니다,저 는 비밀 을 보장 해요  답답하다면 저 에게 말 해보세요 ,1
이별 이후 ,잘 지냈으면 좋겠네요 ,1
이별 일 년 반,많은 시간 이 흘렀네요 ,1
이별 일주일 후 ! 우리 의 이야기 ,각자 의 삶 을 살 고 있겠지요 ,1
이별 일주 일차,다른 곳 으로 생각 을 돌려 보세요 ,1
이별 준비,이별 에도 준비 가 필요하지요 ,1
이별 준비 중,마음 의 준비 가 필요하겠네요 ,1
이별 중독,슬픈 단어 네 요 ,1
이별 참 힘드네,힘들 거 라 생각 해요 ,1
이별 통보 받은지 7일 째,자신 의 마음 에 귀 를 기울 여보세요 ,1
이별 통보 후 일주일 이네,마음 이 후련하지만은 않겠네요 ,1
이별 통보 를 받게 되면 어떻게 해,마음 의 결정 을 내리셔야죠 ,1
이별 하는 중,좋은 마무리 하길 바랍니다 ,1
이별 하루 차 를 보내고 있습니다,평상시 처럼 생활 하고 행동 하세요 ,1
이별 한 달 반 째,날짜 를 그만 세어 보세요 ,1
이별 한 달 후 ,달라진게 많을 거 예요 ,1
이별 한 달반 째,힘든 가봅니다 ,1
이별 한 달 인데 가슴 이 답답한게 아직도,바로 잊을 수 는 없을 거 예요 ,1
이별 한 달 차입니다,괜찮아요 ,1
이별 후 1년 그리고 선물,이별 하신게 맞나요 ,1
이별 후 3 개월 이 지났는데 ,여전히 힘든 가봅니다 ,1
이별 후 6 달 째  이제 그만 좀 잊고 싶어,충분히 잊을 수 있을 거 예요 ,1
이별 후 7 개월 ,아직도 미련 이 남 나 봅니다 ,1
이별 후 감정,후회 만 남지 않길 바랍니다 ,1
이별 후 그 사람과 마주치는 거,힘드실 거 예요 ,1
이별 후 난 !,어떻게 되셨나요 ,1
이별 후 다른 이성 소개팅 후 후 폭풍,더 생각 이 나셨군요 ,1
이별 후 다시 사귀는데 휴,똑같은 것 들 로 다투시나요 ,1
이별 후 두 달 경과 보고서,이제 는 좀 무 뎌 지 셨 나 요 ,1
이별 후 들으면 더 힘든 노래 들,내 이야기 같아 서겠죠 ,1
이별 후 만남,재회 하면 머리 가 더 복잡해질 거 예요 ,1
이별 후 어떻게 될까,연애 전 으로 돌아가지는 못 할 거 예요 ,1
이별 후 왜 다시 전화 를 하는 걸까 ?,미련 한 행동 일 수도 현명한 행동 일 수도 ,1
이별 후 젤 힘들 건 허전함인 거 같아,떠나 보내고 남는건 빈자리 의 공허함이죠 ,1
이별 후 첫날,한번 크게 울어 보세요 ,1
이별 후 한 달,힘내세요 ,1
이별 후 한 달 경과 보고서,털털 털어내세요 ,1
이별 후 한 달 째,아직 많이 힘드시겠군요 ,1
이별 후 후회  아쉬움,이별 뒤 엔 아쉬움 이 따를 뿐이죠 ,1
이별 휴 유증 ,휴 유증 에서 벗어나세요 ,1
이별 ,최근 에 이별 을 하셨나 보군요 ,1
이별  냉정해진다,성장 에는 고통 이 따르나 봐요 ,1
이별  몸 이 버티질 못 하네 ,자신 의 건강 만큼 중요한건 업습니다 ,1
이별  무 뎌 짐,갈수록 무 뎌 져 갈거예요 ,1
이별  버릇 고 치기 ,잘 못 된 버릇 을 갖고 계셨나요 ,1
이별  버텨라,현명하시군요 ,1
이별  생일 이네,힘드시겠어요 ,1
이별  성숙해지다,이별 은 성장하게하죠 ,1
이별  지쳐 버렸나,새로운 시작 을 해보세요 ,1
이별  4 주년,새로운 연애 를 시작 해보시는건 어떠세요 ,1
이별  그리고 노래,이별 과 노래 는 너무 잘 어울리죠 ,1
이별 100일 째 ,새로운 무언가 를 해보는건 어떠세요 ,1
이별 1년 8 개월차,긴 만남 을 잊기는 쉽지 않죠 ,1
이별 6일 차  정신병 자 같네 ,나가서 좀 걷고 친구 들 을 만나 보세요 ,1
이별 곧 두 달 ,아직도 힘드시군요 ,1
이 별 극복 후 새로운 설렘,좋은 소 식이 네 요 ,1
이별 까지의 이야기 ,새로운 이야기 를 시작 해보세요 ,1
이별 너무 힘든네,누군가 를 잊어야 한다는 건 정말 힘든 일이 죠 ,1
이별 노래 추천 해줘 ,좀 더 밝고 신나는 노래 들어 보세요 ,1
이별 당시 보다 더 짠한건  나 떠났으면 잘이나 살 지 ,당신 은 정말 착한 사람 이군 요 ,1
이별 로부터 언제 쯤 자유로워질 까,다른 누군가 와 새로운 추억 과 기억 이 생긴다면 지금 보다는 좀 더 자유로워질 거 예요 ,1
이별 만 한 다이어트 가 없네,자기 몸 을 헤치는 것 만큼 어리석은 짓은 없습니다 ,1
이별 밖에 방법 이 없을까 ?,대화 로 방법 을 찾아보세요 ,1
이별 병 ,가슴 아픈 이별 을 하셨나 보군요 ,1
이별 보다 더 아프네,많이 힘드셨군요 ,1
이별 얘기 끄 저그 적,뭐라도 얘기 를 하면 좀 나아질 거 예요 ,1
이별 에 답 ,이별 에 답 이 있을까요 ,1
이별 에 힘드신 남자 분들 이 글 보시 고 힘내세 ,당신 은 따뜻한 가슴 을 지녔군요 ,1
이별 에 힘들어 하는 분 들 께,무슨 말 을 하시고 싶으신 가요 ,1
이별 에도 준비 가 필요한 거 겠죠 ?,그럼요  한 순간 에 내 삶속 에서 내보내기는 쉽지 않을 거 예요 ,1
이별 예감,둘 사이 에 안 좋은 기류 가 있었나요 ,1
이별 은 결국 엔 가치 의 문제 네 ,가치관 이 달라 자주 부딪히면 이별 하는 것 이 맞는 거 겠죠 ,1
이별 은 냉정할수록 좋은 것 같아,감정 적 일수록 더 힘들어지기만 할 거 예요 ,1
이별 은 다 비슷한거 같아 ,이별 은 똑같이 힘드니까 요 ,1
이별 은 받아들이는 것,쉬운 일이 아니라는 거 잘 알 고 있어요 ,1
이별 은 받아들이는 것 인가,무 덤덤해지 기도 하는 것 이 죠 ,1
이별 은 받아들이는게 맞는건 가보네 ,각자 의 방식 이 있으니까 요 ,1
이별 은 받아들인다는 것,어려울 거 라 생각 해요 ,1
이별 은 아니나 고민 이 있습니다 ,제 가 들어 드릴게요 ,1
이별 은 역시 나 힘드네 ,이별 이 나를 잠식 시키니까 요 ,1
이별 은 왤케 힘드나,그러게요  그만큼 사랑 했다는거겠죠 ,1
이별 은 원래 힘들 자 나,맞아요  어느 누구 도 이별 이 안 힘든 사람 은 없어요 ,1
이별 은 진짜 비겁한 짓 같아 ,똥 차가 지나갔다 생각 하세요 ,1
이별 은 필수 입니다,그러면서 성장 을 해나 가는 거 예요 ,1
이별 을 고민 중 입니다 ,머뭇거리는 이유 는 무엇 때문 일까 요 ,1
이별 을 극복 하면서 참 많이 힘들 기도 했었네 ,힘들지 않았다면 거짓말 일 거 예요 ,1
이별 을 극복 한 건지 ,무 덤덤해졌다면 그럴 거 예요 ,1
이별 을 기 다기 는 건지 아닌지,애매하네요 ,1
이별 을 먼저 말 해본 적있나 ??,말 해본 적 있어요 ,1
이별 을 받아 드리질 못 하고있네,너무 갑작스러웠을테니까 요 ,1
이별 을 받아들여야 하는데 생각 이 자꾸 나네,이별 을 받아들일 시간 이 필요할지도 몰라요 ,1
이별 을 받아들이는 게 맞는걸 까 ?,달라지는게 없다면 마음 을 정리 할 줄 도 알아야 해 요 ,1
이별 을 받아들이지 못 하는 제 가 한심하네,자신 을 자책 하지 말아요  저 도 받아들이지 못 했던 걸 요 ,1
이별 을 배워가는,성숙해지는 단계 인가 봐요 ,1
이별 을 빨리 인정 해야 하는데 ,조급해하지 않아도 돼요 ,1
이별 을 실감 하네,받아들이기 쉽지 않았을텐데 대단해요 ,1
이별 을 앞둔 이 들 에게,조언 해주세요 ,1
이별 을 준비 중 ,좋은 선택 일거라 믿어요 ,1
이별 을 준비 하고 있습니다 ,쉽지 않을 결정 이었을 텐데 ,1
이별 을 하고 ,나아졌긴 바랄게요 ,1
이별 을 하고야 후회 를 하네,그 순간 에는 보이지 않는 것 들 이 많지요 ,1
이별 을 하는게 나을까,고민 하고 있다면 그게 맞을거예요 ,1
이별 을 한지 조금 지나니 후회 가 되네,완벽한 이별 은 없다고 하네요 ,1
이별 을 해야하나 봐,마음 이 문제 네 요 ,1
이별 의 고통 중 에 가장 큰 건 기다림 인거 같아,끝 이 보이지 않기 때문 인 것 같아요 ,1
이별 의 고통 해결 책 ,작은 일 부터 시작 해보세요  그 곳 에서 행복 을 찾아보세요 ,1
이별 의 마무리,가벼운 안부 인사 일 거 예요 ,1
이별 의 순 기능,혼자 만의 시간 이 많아지죠 ,1
이별 의 시간,길지 않길 바랄게요 ,1
이별 의 아픔 이겨내기,사소한 일 부터 시작 해보세요  작은 곳 에서 느끼는 행복 은 생각 보다 커요 ,1
이별 의 아픔 에서 벋어나는 방법,사소한 일 부터 시작 해보세요  작은 곳 에서 느끼는 행복 은 생각 보다 커요 ,1
이별 의 아픔 을 위안 삼 을 방법 좀 알려줘 ,노래 가사 를 적어 보세요  마음 이 정리 될지도 몰라요 ,1
이별 의 아픔 이 있는데 몸 까지 아파 서야,꼭 병원 다녀와요  힘들 때 아픈 것 만큼 서러운 일 은 없어요 ,1
이별 의 아픔 이란,이루 말 할 수 없는 아픔 이기도 해 요 ,1
이별 의 이유 는 정말 다양하내,사랑 이 헤아릴 수 없어서 그렇 기도 해 요 ,1
이별 이 다시 올거 같은 느낌,더 두렵겠네요 ,1
이별 이 무서운건,혼자 가 되는 거 겠죠 ,1
이별 이 아닌 사별,정말 영원한 이별 이네 요 ,1
이별 이 온 후,많은 변화 가 있었지만 긍정 적 인 변화 이길 바랍니다 ,1
이별 이 이렇게 아픈거였나,사랑 한 시간 보다 이별 이 더 길어서 그래요 ,1
이별 이 있어야 인연 도 있는거 같아 ,이별 이 새로운 시작 이 되 기도 하니 까요 ,1
이별 이 좋은 점,혼자 가 되었을 때 의 고요함 이 아닐까 요 ,1
이별 이 코 앞 으로 다가온것 같아,이별 이 얼마 남지 않음 이 느껴지나요 ,1
이별 이 힘든 이유 는 ,그만 큰 사랑 했기 때문 일 거 예요 ,1
이별 이  아픈것도 슬픈것도,그만 큰 사랑 했기 때문 일 거 예요 ,1
이별 이란,항상 아쉽지요 ,1
이별 이란,힘든 것,1
이별 이란 참 힘드네,사랑 하는 사람과 매 순간 을 함께 했었으니까 요 ,1
이 별일 까 ?,이별 이 다가옴을 느끼나 봅니다 ,1
이별 준비,이별 을 받아들이는 것 도 준비 가 필요해요 ,1
이별 준비 그리고 극복,작은 일 부터 시작 해보세요  그 곳 에서 행복 을 찾아보세요 ,1
이별 준비 하려고,쉽지 않은 결정 이었을텐데 마음 고생 많았어요 ,1
이 별 준비 하 는 방법,좋은 방법 이란 없겠지요 ,1
이별 중 이신 회원 들 을 위해 ,조언 해주세요 ,1
이별 증후군,문득 생각나고 잊혀지지 않는 것 이 겠죠 ,1
이별 통보 받고 딱 일주일 째네 ,아직 실감 이 안 나겠어요 ,1
이 별 통보 를 받았습니다,마음 의 준비 가 필요했을텐데 안타까워요 ,1
이별 하고 목숨 까지 끊는 사람 들 전혀 이해 못 했는데,감정 의 골 이 깊었나 봐요 ,1
이별 하고 욕 했어,순간 의 분노 로 그랬을 수도 있어요 ,1
이별 하고 절대 하지 말 아 야할 것,술 취해 서 다시 연락 하지 않는게 좋아요 ,1
이별 하는 방법 중,좋은 방법 이란 없겠지요 ,1
이별 하는게 맞는거겠죠,고민 하고 있다면 그게 맞을거예요 ,1
이별 하려고 하는데 정말 말 꺼내기가 힘드네,그동안 사랑 했던 사람 이니까 요 ,1
이별 하려고 합니다,힘들 결정 이었겠어요 ,1
이별 하려다 붙잡고 다시 사귀는데,잘 지내길 바랍니다 ,1
이별 하 신분 들,말씀 해주세요 ,1
이별 한지 10일 차 점점 나아지고 있습니다 ,저 랑 대화 하는 게 위로 가 되었으면 합니다 ,1
이별 한지 11일 째 아직 은 힘드네,점차 나아질 거 예요 ,1
이별 한지 1년 하고 2 개 월지 나갑니다,이별 을 헤아리는 건 큰 도움 이 안 돼요 ,1
이별 한지 1 달,한 달 동안 잘 참아 왔네요 ,1
이별 한지 20일 차 ,금방 한 달이 될 거 라 믿어요 ,1
이별 한지 20일 째,마음 의 변화 가 있었나 봅니다 ,1
이별 한지 2 달 다 되어 갑니다 ,마음 이 좀 차분해졌길 바랍니다 ,1
이별 한지 2 주 인데,아직 많이 힘든 가봅니다 ,1
이별 한지 3 개월,많은 시간 이 흘렀네요 ,1
이별 한지 3 개월 째 ,좀 나아졌길 바랍니다 ,1
이별 한지 3일 ,한 동안 은 힘들겠네요 ,1
이별 한지 3일 째,많이 힘든 시간 이겠어요 ,1
이별 한지 3일 째네,이별 은 실감 이 안나 나 봐요 ,1
이별 한지 4 개월 째 ,마음 은 좀 정리 되어가길 바랍니다 ,1
이별 한지 6년 째,사랑 했던 사람 을 잊는 건 불가능한 일인 가봐요 ,1
이별 한지 8일 째,어찌 보면 짧지 않은 시간 ,1
이별 한지 꽤 오래되었는데 연락 이 왔네,그 분 에게 심경 변화 가 있었나 봅니다 ,1
이별 한지 두 달이 넘고 얼굴 안 본지 한 달이 넘은,기억 의 저편 으로 남겨 두세요 ,1
이별 한지 딱 한 달 째 ,언 젠 간 선택 을 해야 하는 시기 가 올 거 예요 ,1
이별 한지 벌써 한 달 하고 2 주 ,바쁘게 지냈나 봐요 ,1
이별 한지 오개 월 째,많은 시간 이 흘렀네요 ,1
이별 한지 이제 겨우 한 달,길게 느껴졌는데 한 달 밖에 지나지 않았네요 ,1
이별 한지 이제 일주일 째 네,잘 견디고 있길 바랄게요 ,1
이별 한지 한 달이 넘었고 괜찮은 줄 알았는데,이별 을 받아들이는 것 은 맘 처럼 쉽진 않으니까 요 ,1
이별 한지 한 달 된 남자 입니다 ,많이 힘들었겠어요 ,1
이별 할 때 지켜 야할 매너,잠수 이별 하 지 않고 상처 주지 않으며 말 을 아끼는게 필요해요 ,1
이별 할 수 없는 아픔,끝낼 때 를 아는 것 도 중요한 것 같아요 ,1
이별 할 때 남자 들 의 거짓말,비겁한 자 들 의 변명 이에요 ,1
이별 할 때 는 미련 갖지 않게 해주는게 좋겠어,미련 은 사랑 을 증오 로 만들 수 있으니까 요 ,1
이별 해야 하나 ?,고민 하고 있다면 그게 맞을거예요 ,1
이별 했네,힘든 결정 이었겠어요 ,1
이별 했다,맘 고생 많았어요 ,1
이별 했습니다,한 잔 하세요 ,1
이별 후,마음 은 좀 정리 되어가길 바랍니다 ,1
이별 후 10 개월 만의 연락  그 후 ,수 많은 것 들 이 달라졌겠죠 ,1
이별 후 2 주반 이 지난 시점,수 많은 것 들 이 달라졌겠죠 ,1
이별 후 3 개월 다 되가는데 ,마음 은 좀 정리 되어가길 바랍니다 ,1
이별 후 3일 째,인고 의 시간 이었네요 ,1
이별 후 3 주 아니 차 인후 3 주,이별 을 받아들일 시간 이 필요했을텐데 ,1
이별 후 6 개월,많은 변화 가 잇었겠죠 ,1
이별 후 8 개월 이란 시간 이 흐르고,다른 인연 이 ㅊ 자아 올 거 예요 ,1
이별 후 그리움 이 생생한 오늘,사랑 이 깊었을 수록 기억 은 선명하죠 ,1
이별 후 너무 외로워 ㅠ,이별 의 빈자리 가 느껴지니까 요 ,1
이별 후 네 달 째,바쁘게 살면서 잊어가요 ,1
이별 후 느끼는 감정 들 이 단계 별로 있는거 같네,그게 이별 의 흔적 인가 봐요 ,1
이별 후 사진 을 못 지우겠네,미련 만 남 을 거 예요 ,1
이별 후 시간 이 많이 흘렀네 ,지금 이 순간 에도 시간 이 흐르네요 ,1
이별 후 여친 페메 무슨 의미 일까 ?,관심 을 끄는 것 이 정리 에 도움 이 될 거 예요 ,1
이별 후 열흘 뒤 에 붙잡았어,용기 를 냈네요 ,1
이별 후 자주 듣는 노래있으 신가 ?,슬픈 노래 는 삼가는 편이 에요 ,1
이별 후 재회 그리고,달라진게 많았겠네요 ,1
이별 후 첫 생일 이네,제 가 축하 해드릴게요 ,1
이별 후 한 달,금방 지나갔네요 ,1
이별 후 한 달 ,이제 조금 이라도 괜찮아졌길 바랍니다 ,1
이별 후 한 달반 만에 그 사람 이 좋아하는 사람 이 생겼다는걸 알 아 버렸네,그 분 의 변덕 이 심하네요 ,1
이별 후 한 달 째 인데,잘 견디고 있길 바랄게요 ,1
이별 후 ,심경 의 변화 가 있었나 봅니다 ,1
이 별 후 에,나아지길 바랄게요 ,1
이 별 후 에도 나를 괴롭히는 그 의 말 들,이별 은 상처 를 남겨서 아무는 데 는 시간 이 거릴 거 예요 ,1
이별 후 폭풍 왜 이렇게 심하죠,이별 은 상처 를 남겨서 무뎌 지는 데 는 시간 이 거릴 거 예요 ,1
이 사람 무슨 생각 인걸 까,알 수 없는게 사람 마음 인가 봐요 ,1
이상한나의 취미  이별 을 세는것 ,헤어짐을 헹리 는 것 만큼 가슴 아픈 일 은 없어요 ,1
이성 간 종교 문제,민감한 문제 이기도 해 요 ,1
이성 으로는 감당 할 수 없을 것 같아,잠깐 눈 을 붙이 고 마음 을 가라앉혀 보세요 ,1
이 시간 들 어찌 보내야 할까 ,저 랑 같이 이야기 해 요 ,1
이야기 를 한번 해보려 합니다 ,네  들어줄게요 ,1
이야기 하고싶다,제 가 들어 드릴게요 ,1
이용 당 하고 버려진 느낌,그 사람 은 제 가 혼내줄게요 ,1
이용만 당했던 건가,불행하게 생각 지 말아요 ,1
이유 가 확실해졌네,맘 정리 할 확실한 이유 가 생겼네요 ,1
이유 라는 게 뭔 지,알다가도 모를 ,1
이제 10일 차 이별,어느덧 열흘 이란 시간 이 지났네요 ,1
이제 1년 됐습니다,많은 시간 이 흘렀네요 ,1
이제 1년 도 지나고 성큼 가을 이 왔네 ,가을 타기 전 새로운 만남 추천 합니다 ,1
이제 2 주 좀 넘었네,금방 지나갈 거 예요 ,1
이제 3 개월 이네,짧지 않은 시간 이지 요 ,1
이제 3 주정 도 되가는데 점점 좋아지고있어,많이 노력 하고 있나 봐요 ,1
이제 겨우 일주일 됐네,일주일 이나 지난 거 예요 ,1
이제 괜찮습니다  그래서 힘드네 이 젠 ,이별 은 상처 를 남기고 가니까 요 ,1
이제 그만,정리 되길 ,1
이제 그만 보낼려 구,그것 이 최선 의 선택 일거라 생각 해요 ,1
이제 그만해야겠죠 ?,고민 하고 있다면 그게 맞을 거 예요 ,1
이제 끝 이네,마음 이 좀 후련해지길 바랄게요 ,1
이제 끝 인가 봐,이별 을 받아들이는 건 쉬운 일이 아니겠죠 ,1
이제 나 자신 으로 돌아와 아름다워지고 싶어 ,좋은 생각 이에요  한 차례 성숙해진 자신 을 발견 할 거 예요 ,1
이제 나도 계산 적 인 사람 이 되려나 봅니다,상처 가 있었나 봐요  누구 나 그럴 수 있어요 ,1
이제 나름 의 정리 를 시작 해보려구 ,심경 의 변화 가 있었나 봐요  응원 할게요 ,1
이제 너 따위 생각 도 안 난다 꺼져,말 하면서 기분 이 좀 나아졌길 바랍니다 ,1
이제 너무 지쳐가네 ㅠ,지칠만 해 요 ,1
이제 놓아 주 려고,끝낼 때 를 아는 것 도 중요한 것 같아요 ,1
이제 놓아주 렵 니 다,끝낼 때 를 아는 것 도 중요한 것 같아요 ,1
이제 놓을수 있을것 같아,충분한 마음 의 정리 를 했나 봅니다 ,1
이제 누구 만나는 것 도 지치네,새로운 만남 은 언제나 어려운 것 같아요 ,1
이제 더 이상 남자친구 로 안 느껴진다는 그녀,익숙함이라는 타성 에 젖은 건 아닐까 생각 해봅니다 ,1
이제 때론 괜찮 기도 해,그렇게 익숙해져 가나 봐요 ,1
이제 마음 정리 도 된 거 같은데,그럼 새로운 인연 을 기다려 보세요 ,1
이제 마음 을 정리 할 때 가 된거 같아,끝낼 때 를 아는 것 도 중요한 것 같아요 ,1
이제 막 이별 을 ,혼자 만의 시간 이 필요하겠어요 ,1
이제 모든 게 퍼즐 처럼 맞춰지네,곱씹어도 아픈 기억 인 걸 요 ,1
이제 반년 이란 시간 이 흘렀는데,좀 나아졌길 기대합니다 ,1
이제 밥 도 잘 먹구 술 은 안 마시면 되겠는데,복잡한 머리 속이 문제 네 요 ,1
이제 보내주려 합니다 ,많이 고민 했을거라 생각 해요 ,1
이제 보름 다 되어가네,생각 보다 잘 버텼어요 ,1
이제 사진 지운 이유 는 ?,마음 의 준비 가 필요했을지도 몰라요 ,1
이제 세 달 째,짧지 않은 시간 이지 요 ,1
이제 숨 좀 쉬 나,충분히 극복 할 수 있어요 ,1
이제 스스로 인정 한 것 같아,현실 그대로 를 받아들이는 것 부터 시작 이에요 ,1
이제 슬슬 끝 이 보이 네,사랑 에도 끝 이 있으니까 요 ,1
이제 여친 이 마음 이 괜 잖아진거 같아 !!!,다행 으로 생각 할게요 ,1
이제 와서 소문 이라니,참 거지같네요 ,1
이제 이 곳 올 일 없을거 같네하하 ㅜ,좋은 소식 이라고 생각 할게요 ,1
이제 이별 한지 한 달,생각 보다 많은 시간 이 지났네요 ,1
이제 인정 해야 할 것 같아 ,현실 인정 부터 시작 이 죠 ,1
이제 일주일,충분히 극복 해낼 수 있어요 ,1
이제 일주일 이네,당신 만 아픈 것 도 겪은 것 도 아니에요 ,1
이제 잊혀지는데 속도 가 붙는거 같아 ,이별 도 익숨함 에 젖어 드 나 봐요 ,1
이제 자리 잡아가는데,얼마 남지 않았어요 ,1
이제 전부 못 믿겠네 ,그래도 자신 은 믿어주세요 ,1
이제 점심시간 에도 너 에게 카톡 을 할 수가 없구나 ,점심시간 에 할 수 있는 다른 걸 해봐요 ,1
이제 정리 하려고 합니다 ,맘 고생 많았어요 ,1
이제 정말 끝 이 겠죠,마지막 을 인정 하는 것 도 중요해요 ,1
이제 정말 놓으려 구 ,때론 이별 도 받아들여야 하나 봐요 ,1
이제 정말 놓으려 합니다,많이 고민 했을거라 생각 해요 ,1
이제 정말 마침표 찍어야 하네,사랑 에도 끝 이 있으니까 요 ,1
이제 제발 좀 잊자,마음 먹은대로 괜찮아지길 ,1
이제 진짜 끝났어 슬퍼,저 도 슬퍼지네요  기운 내길 바랄게요 ,1
이제 진짜 떠나야겠지,천천히 보내주세요 ,1
이제 진짜 안녕 !!,안녕 !,1
이제 탈퇴 합니다,좋은 마음 이길 바랄게요 ,1
이제 한 삼주 되었나 ?,잘 지내고 있길 바랍니다 ,1
이제 한 달이 조금 넘었어,마음 이 내 마음 같지 않죠 ,1
이제 헤어진지 1 주일 됐어,긴 시간 이었을거라 생각 해요 ,1
이제 헤어진지 딱 한 달,금방 지나갈 거 예요 ,1
이제 헤이진 지 5일 차네 ,이별 을 헤아리는 건 큰 도움 이 안 돼요 ,1
이제 확실히 알겠어,깨달음 이 중요하죠 ,1
이제 힘내렵니 다 !,당신 이 기운내는 것 을 보니 좋은 예감 이 들어요 ,1
이제 는 너 를 보낼 시간 이 가까이 오는구나 ,이별 을 받아들이는 것 도 중요해요 ,1
이제 는 놓아줄꺼라 생각 하지만,쉽지 않은 결정 이 죠 ,1
이제 는 먼저 놓아줄까 합니다,충분한 고민 끝 의 결정 일 거 라 믿어요 ,1
이제 는 숨막히고 괴로운건 좀 무뎌 졌는데,상처 가 아무는 데 는 시간 이 걸려요 ,1
이제 는 연락 도 없는 너 를 그리며,미련 은 사랑 을 증오 로 만들 수 있어요 ,1
이제 는 이별 을 받아 드리려고 합니다,이별 을 받아들이는 것 도 중요해요 ,1
이제 는 잡 을 수가 없네,마지막 을 아는 것 도 필요해요 ,1
이제 는 정리 가 된 거 일까 ?,생각 을 정리 해 보는 건 어떨까 요 ,1
이제 는 정말 끝,맘 고생 많았어요 ,1
이제 는 포기 하게 되네 나 자신 조차,자신 은 놓지 말아요 ,1
이제 는 후회 없네 ,그동안 마음 고생 많았어요 ,1
이제 는 그만하고 싶어,이 젠 마음 의 결정 을 내릴 때 에요 ,1
이제 떠나려 합니다,제 곁 은 떠나지 마세요 ,1
이제 서야 현실 을 받아들이네,이제 새로운 출발 을 하면 돼요 ,1
이제 서야 ,지금 도 늦지 않았어요 ,1
이제야 깨달음,지금 도 늦지 않았어요 ,1
이제야 오래전 상대방 이 아팠던걸 이해 했어 ,다음 번의 사랑 에선 좀 더 신중할 수 있게 된 거 예요 ,1
이제야 좀 잊혀지네,마음 고생 많았어요 ,1
이 젠 괜찮을 줄 알았어 ,이별 에 완전한 치유 는 없어요 ,1
이 젠 그냥 조금 만 자극 이 와도 눈물 이 ,이별 은 상처 를 남기고 가니까 요 ,1
이 젠 나 의 스케줄 로 돌아가야 할 때 !!,좋은 생각 이에요 !,1
이 젠 너 때문 에 오래된 노래 들 도 못 듣겠어 ,아프지만 추억 으로 여기는 건 어떨까 요 ,1
이 젠 놓아주려 해,좋은 선택 일거라 믿어요 ,1
이 젠 놓아줘야 할 때 인가 보다,이별 의 끝 을 인정 하는 것 도 용기 입니다 ,1
이 젠 눈물 이 말라 버렸나 봅니다 ,많이 지쳤나 봐요  곧 기운 낼 수 있길 바랄게요 ,1
이 젠 다시 만날 수도 없는 상황,달라지는게 없다면 이런 상황 이 더 나을지도 몰라요 ,1
이 젠 더 이상 정 주기 무섭습니다,상처 가 많이 크셨나요 ,1
이 젠 보내줄게 ,잘 지낼거예요 ,1
